Accounting,ServiceObject,5620_SAM_AingrAengrQueue,service.CompleteServiceIngressPacketOctetsLogRecord,monitoredObjectSiteId,0
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,service.ServiceEgressOctetsLogRecord,monitoredObjectSiteId,0
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,service.ServiceEgressPacketsLogRecord,monitoredObjectSiteId,0
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,service.ServiceIngressOctetsLogRecord,monitoredObjectSiteId,0
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,service.ServiceIngressPacketsLogRecord,monitoredObjectSiteId,0
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,aingr.ForwardingClass,siteId,1
Accounting,ServiceObject,5620_SAM_AingrAengrQueue,aingr.Queue,siteId,1
Performance,ServiceTunnelObject,5620_SAM_SdpBinding,svt.MeshSdpBinding,fromNodeId,1
Performance,ServiceTunnelObject,5620_SAM_SdpBinding,svt.MirrorSdpBinding,fromNodeId,1
Performance,ServiceTunnelObject,5620_SAM_SdpBinding,svt.SpokeSdpBinding,fromNodeId,1
Performance,ServiceTunnelObject,5620_SAM_SdpBinding,svt.SdpBindingBaseStatsLogRecord,monitoredObjectSiteId,0
Performance,AosqosObject,5620_SAM_Aosqos_Policy,aosqos.Policy,siteId,1
Performance,AosqosObject,5620_SAM_Aosqos_Policy,aosqos.QoSIngressPolicyStatsLogRecord,monitoredObjectSiteId,0
Performance,CardSlotObject,5620_SAM_CardSlot,equipment.CardSlot,siteId,1
Performance,CardSlotObject,5620_SAM_CardSlot,equipment.CardHealthStatsLogRecord,monitoredObjectSiteId,0
Performance,CFMObject,5620_SAM_CfmEthTest,ethernetoam.CfmEthTest,siteId,1
Performance,CFMObject,5620_SAM_CfmEthTest,ethernetoam.CfmEthTestResult,fromNodeId,0
Performance,CFMObject,5620_SAM_CfmOneWayDelay,ethernetoam.CfmOneWayDelayTest,siteId,1
Performance,CFMObject,5620_SAM_CfmOneWayDelay,ethernetoam.CfmOneWayDelayTestResult,fromNodeId,0
Performance,CFMObject,5620_SAM_CfmSingleEndedLoss,ethernetoam.CfmSingleEndedLossTest,siteId,1
Performance,CFMObject,5620_SAM_CfmSingleEndedLoss,ethernetoam.CfmSingleEndedLossTestResult,fromNodeId,0
